trdyr,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
1995,-0.242019175,-0.034103142,0.1176357124,0.4406720373,0.222162434,0.0739283256,0.1098,-0.04588751,0.1553330181,0.4548090825,0.1522473328,-0.025730705
1996,1.0818510601,-0.577209589,1.1512851584,2.1123680347,0.7019219765,-0.196600099,0.0747,-0.582190235,1.2321027445,2.0734653758,0.6185088593,-0.187160292
1997,0.2476428811,-0.138508918,-0.028339372,1.1600421112,0.5896617769,-0.4005673,0.0567,-0.024180235,-0.033156936,1.0484070852,0.2511931328,-0.154675765
1998,-0.087045905,0.2428651487,0.0876303007,0.810890036,-0.192257301,0.0739399937,0.0378,0.1544977961,0.0468508842,0.807383354,-0.080301814,0.0429284758
1999,0.1478681536,-0.04214226,-0.025195701,0.8229617586,-0.001402914,0.0156292135,0.0225,-0.048432161,-0.059824014,0.8181446634,0.0156064835,0.0320057818
2000,0.5624812206,0.1603806277,0.0713694615,1.0308669653,-0.092835406,0.1079610969,0.0225,0.0990214122,0.0657919255,0.9981610116,-0.127812996,0.1737712462
2001,-0.270102601,0.0248785819,0.0868688996,0.3828121966,0.0268156657,0.0139532699,0.0225,0.012183209,0.0505008443,0.3379707194,0.0320772472,-0.007108237
2002,-0.205104268,-0.057166997,0.0120085792,0.3561179424,0.0662646051,-0.04544078,0.0198,-0.039610247,-0.003099449,0.3311647335,0.0556425313,-0.022479425
2003,-0.060533774,-0.247441391,0.1755941292,0.6300874416,0.2731676941,-0.137380843,0.0198,-0.201864701,0.144446355,0.5952324769,0.231256668,-0.129963174
2004,-0.180542225,-0.069760434,0.1215710553,0.5865856439,0.1016628278,-0.083992508,0.0225,-0.07532899,0.0718649836,0.5111674818,0.1162756459,-0.084728346
2005,-0.135149518,-0.142675331,0.0322404877,0.5422689203,0.1547444766,-0.143282761,0.0225,-0.112862971,-0.000140327,0.5502765775,0.1259824564,-0.108257847
2006,1.0163035581,-0.453798836,0.0194190877,1.6448498254,0.3527500132,-0.16056606,0.0252,-0.455974582,-0.009953705,1.5853205637,0.3467542958,-0.190849247
2007,1.7586322408,-0.12423716,0.4463048935,2.2763023283,-0.075792436,0.1358668409,0.0414,-0.213256359,0.2792596186,2.3678470967,0.0512018061,0.112375621
2008,-0.641723826,0.0012200057,0.030762857,0.3064603966,0.0024785631,0.0360675839,0.0225,-0.012642145,0.0438731922,0.3032298676,-0.008830904,0.031079167
2009,1.1116064084,0.3193423761,0.3693788209,1.6789024296,-0.274558934,0.4234828304,0.0225,0.1706191929,0.3819081325,1.6055591324,-0.17846325,0.2184007265
2010,-0.038564952,0.0842442663,-0.183258965,0.8753306506,-0.016148332,-0.073523064,0.0275,0.0013031489,-0.14498349,0.8516608589,0.0350935073,-0.006136543
2011,-0.283901477,-0.048157881,0.0485986144,0.3885003404,0.103433762,-0.045850398,0.035,-0.003439374,0.0194531781,0.3444814806,0.022531101,0.002174407
2012,-0.011940273,-0.029955891,0.0256687716,0.5296032596,0.0617994076,-0.095188274,0.03,-0.036688705,0.0286380293,0.5663639057,0.0518134593,-0.008780815
2013,-0.007000891,0.181091665,-0.030363679,0.9458916874,-0.178738114,0.0392964798,0.03,0.0594088798,-0.050495612,0.9800162585,-0.125585156,-0.025642122
2014,0.4033958823,0.0434299715,0.2916609858,0.7851263205,-0.093677184,0.1619067921,0.0275,0.0272486893,0.2379624651,0.7192434392,-0.106839117,0.1225814733
2015,0.3212246131,0.4383374776,-0.360253744,1.212304094,-0.309776453,-0.329787752,0.015,0.2796062181,-0.32497693,1.28024348,-0.26564185,-0.026350903
2016,-0.134071363,0.0587005513,0.1492523751,0.4463313138,0.0749143925,0.0611069415,0.015,0.0912739508,0.1437957382,0.4496549017,-0.022278882,0.0864295594
2017,0.0371224852,-0.333577698,0.1132926872,0.6914339451,0.3444134255,-0.18782463,0.015,-0.208911677,0.1113671404,0.6084688301,0.2244692972,-0.085355387
2018,-0.287888927,-0.097686838,0.0651569519,0.4111749963,0.1089590688,0.0559878,0.015,-0.035061997,0.0399417667,0.3935121377,0.0460466919,0.0223199261
2019,0.2745407566,-0.194034168,-0.190136957,0.8790819077,0.1927664758,-0.329339819,0.015,-0.120608949,-0.105448966,0.8438657172,0.1369712086,-0.130118189
2020,0.2877062065,-0.306032277,-0.213045929,1.1550705087,0.3372549963,-0.425335593,0.015,-0.225368415,-0.080735948,0.9921386345,0.2432301536,-0.216833099
2021,0.0426782742,-0.070035373,0.0774919314,0.7298489803,-0.069338654,0.050026134,0.015,-0.119411483,0.0390050652,0.8861045307,0.0354043923,-0.003978839
